run_id,run_path,generation,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A1_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_0_s9012_b017073,v2,A1,0,0.1559375,0.0003125,0.155625,1.9950752010785933,3,1.9950752010785933,0.08031250082422048,0.07562500098720193,0.022812500596046448,0.30718750203959644,0.6296827457845211,1,1.3384000733494759,0.275,0.125,0.7625684055772665,3,0.0,1.5161836274464926,0.012395833333333333,0.012083333333333333,0.278125,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A1_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_1_s1234_b017073,v2,A1,1,0.40675,0.0003125,0.4064375,1.5796819758770475,2,1.5796819758770475,0.3003124970709905,0.28249999723630026,0.20593749679392204,0.7440624944865704,0.723827401176095,1,1.3883774559944868,0.47496875,0.3147916666666667,0.854720335989006,2,0.0,1.533969291051229,0.09322916666666665,0.09291666666666666,0.606875,0.042421875,29376,2103552,51136,50762,0.013964950711938665
A1_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_1_s5678_b017073,v2,A1,1,0.813125,0.0005208333333333333,0.8126041666666667,0.9364928360607061,0,0.9364928360607061,0.2890625,0.2821875000372529,0.16999999905237928,0.9134375005960464,1.1355448812246323,1,1.6311491653323174,0.3125,0.14583333333333334,0.9729112210546395,0,0.0,1.6902322800954181,0.12041666666666666,0.11989583333333333,0.935625,0.011953124999999998,29376,2103552,51136,50762,0.013964950711938665
A1_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_1_s9012_b017073,v2,A1,1,0.641,0.00020833333333333335,0.6407916666666666,1.0348166221336537,0,1.0348166221336537,0.2731249980861321,0.2731249980861321,0.07593749981606379,0.9256250075995922,1.045263223350048,1,1.5983582139015198,0.3,0.16666666666666666,0.9508446706922832,0,0.0,1.6025028006235758,0.015104166666666669,0.014895833333333336,0.9859375,0.0009765625,29376,2103552,51136,50762,0.013964950711938665
A1_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_2_s1234_b017073,v2,A1,2,0.4025625,0.000625,0.4019375,1.114781717107782,4,1.114781717107782,0.6843749983236194,0.6765624983236194,0.3087500043329783,0.7662500021979213,0.9068063609302044,1,1.4486049227416515,0.70196875,0.7184375,0.8419142281126776,4,0.0,1.6444226678212484,0.02729166666666667,0.02666666666666667,0.5390625,0.061171875,29376,2103552,51136,50762,0.013964950711938665
A1_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_2_s5678_b017073,v2,A1,2,0.3396875,0.00010416666666666667,0.3395833333333333,1.3927725282907382,2,1.3927725282907382,0.6178125028964132,0.6050000030081719,0.016562499688006938,0.6271875025704503,0.7836539372801781,1,1.410798840224743,0.72584375,0.5225520833333334,0.8503920588327055,2,0.0,1.5577941926320393,0.008125,0.008020833333333333,0.5828125,0.0,29376,2103552,51136,50762,0.013964950711938665
A1_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_2_s9012_b017073,v2,A1,2,0.627,0.0,0.627,1.089537660055544,1,1.089537660055544,0.33093750377884135,0.33062500378582627,0.16374999476829544,0.8875000029802322,0.8140791095793247,1,1.4192297123372555,0.18471875,0.0190625,0.9286843039799924,1,0.0,1.5610437870025635,0.1346875,0.1346875,0.7375,0.0,29376,2103552,51136,50762,0.013964950711938665
A2_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_0_s1234_b017073,v2,A2,0,0.6194375,0.0003125,0.6191249999999999,0.9476681383346339,0,0.9476681383346339,0.5150000005960464,0.5056250002235174,0.03687500045634806,0.9009375050663948,0.9935826882719994,1,1.50930517911911,0.625,0.4585416666666667,0.9682160534610839,0,0.0,1.6246467463175456,0.029895833333333333,0.029583333333333333,0.7796875,0.0001953125,29376,2103552,51136,50762,0.013964950711938665
A2_0_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_0_s5678_b017073,v2,A2,0,0.497875,0.0,0.497875,1.015229193288349,0,1.1602619351866845,0.8303125016391277,0.8296875016530976,0.04812500032130629,0.9468750059604645,0.9282485023140907,1,1.4944158121943474,0.77859375,0.7338020833333333,0.9291425272329742,0,0.0,1.5635089174906414,0.03177083333333334,0.03177083333333334,0.875,0.0001171875,29376,2103552,51136,50762,0.013964950711938665
A2_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_0_s9012_b017073,v2,A2,0,0.422375,0.00020833333333333335,0.4221666666666667,1.162884578824708,0,1.162884578824708,0.8568750023841858,0.8565625023911707,0.058749999618157744,0.9731250032782555,0.8628832474350929,1,1.462511196732521,0.60959375,0.601875,0.9155430216438998,0,0.0,1.5905809593200686,0.033854166666666664,0.03364583333333333,0.9590625,0.00015625,29376,2103552,51136,50762,0.013964950711938665
A2_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_1_s1234_b017073,v2,A2,1,0.428875,0.00010416666666666667,0.4287708333333333,1.185485541945851,0,1.185485541945851,0.5450000050477684,0.5450000050477684,0.06437499972525984,0.8046875055879354,1.03210961073637,1,1.4966471195220947,0.65734375,0.46796875,0.8795156270025468,0,0.0,1.5577756786346437,0.04197916666666667,0.041875,0.5753125,0.00046875000000000004,29376,2103552,51136,50762,0.013964950711938665
A2_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_1_s5678_b017073,v2,A2,1,0.5565625,0.0004166666666666667,0.5561458333333333,1.076526703390364,0,1.076526703390364,0.6203125019092113,0.6103125021327287,0.06593749893363565,0.8603125046938658,0.9574888646602631,1,1.5035088285803795,0.61959375,0.5509375,0.9411176457159536,0,0.00010416666666666663,1.5795080757141113,0.01625,0.015833333333333335,0.751875,0.0005078125,29376,2103552,51136,50762,0.013964950711938665
A2_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_1_s9012_b017073,v2,A2,1,0.3975,0.00010416666666666667,0.39739583333333334,1.2578006618362618,0,1.2578006618362618,0.7131249997764826,0.7115624998114072,0.06281250080792233,0.9624999985098839,0.8812806084752083,1,1.4561418145895004,0.53359375,0.3745833333333333,0.9154676635792487,0,0.00010416666666666667,1.5508412679036458,0.021770833333333336,0.02166666666666667,0.8671875,7.8125e-05,29376,2103552,51136,50762,0.013964950711938665
A2_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_2_s1234_b017073,v2,A2,2,0.4935,0.00020833333333333335,0.4932916666666667,1.1677726641401331,1,1.1677726641401331,0.5809374938253313,0.579687493853271,0.053749998623970896,0.8118750026915222,0.9905147701501846,1,1.5179401487112045,0.5555625,0.59234375,0.9095793759921694,1,0.0,1.5938530445098875,0.03166666666666667,0.03145833333333334,0.55875,0.000390625,29376,2103552,51136,50762,0.013964950711938665
A2_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_2_s5678_b017073,v2,A2,2,0.563,0.00010416666666666667,0.5628958333333333,0.8919378547944181,0,1.019357548336478,0.7750000025262125,0.7750000025262125,0.05843750009080395,0.8565624989569187,0.9838291630148888,1,1.508698731660843,0.73028125,0.5847395833333333,0.9373251940470799,0,0.0,1.5911855697631836,0.04010416666666667,0.04,0.7575,0.0003125,29376,2103552,51136,50762,0.013964950711938665
A2_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A2_2_s9012_b017073,v2,A2,2,0.410375,0.0,0.410375,1.2053917760460153,0,1.2053917760460153,0.559062501648441,0.5571875016903505,0.04250000021420419,0.7146874917671084,0.991873636841774,1,1.5252354368567467,0.73353125,0.7865625,0.9554133908134533,0,0.00010416666666666667,1.591327969233195,0.041354166666666664,0.041354166666666664,0.6140625,7.8125e-05,29376,2103552,51136,50762,0.013964950711938665
A3_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_0_s1234_b017073,v2,A3,0,0.6688125,0.0,0.6688125,1.0741594578425857,0,1.0741594578425857,0.9253125004470348,0.9253125004470348,0.003749999974388629,0.9568750038743019,0.5723504777997732,1,0.7225276436656713,0.72578125,0.6082291666666667,0.9634261722239525,0,0.0,0.7923559888203938,0.0,0.0,0.9640625,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_0_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_0_s5678_b017073,v2,A3,0,0.786125,0.0,0.786125,0.9828135921196175,0,0.9828135921196175,0.7590625011362135,0.7590625011362135,0.009375000023283064,0.9368750005960464,0.633623905479908,1,0.7580702789127827,0.7396875,0.8510416666666667,0.9684822634916121,0,0.0,0.7236155009269715,0.004583333333333333,0.004583333333333333,0.9059375,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_0_s9012_b017073,v2,A3,0,0.6379375,0.0,0.6379375,1.3274008120528449,0,1.3274008120528449,0.8618750053574331,0.8618750053574331,0.014999999664723873,0.9906250089406967,0.55938202701509,1,0.7433304097503424,0.74284375,0.7544791666666667,0.9480412279144049,0,0.0,0.8305899930000304,0.0032291666666666666,0.0032291666666666666,0.7878125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_1_s1234_b017073,v2,A3,1,0.8419375,0.001875,0.8400625,0.8934610406364843,0,0.8934610406364843,0.8293749990989454,0.8293749990989454,0.2540625016554259,0.9987500011920929,0.4602554850280285,1,0.6029214560985565,0.77509375,0.81125,0.9968264805561567,0,-0.001875,0.651769343217214,0.2197916666666667,0.2179166666666667,0.9521875,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A3_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_1_s5678_b017073,v2,A3,1,0.7995625,0.0,0.7995625,0.9447670989413184,0,0.9447670989413184,0.7159375038463622,0.7156250038533472,0.010000000067520887,0.9975000023841858,0.4807489700615406,1,0.5566533654928207,0.835375,0.7940104166666667,0.9893568674691424,0,0.0,0.5731365672747294,0.008125,0.008125,0.9965625,0.0,29376,2103552,51136,50762,0.013964950711938665
