arm,n_seeds,M1_acc_seen_mean,M1_acc_unseen_mean,M1_gap_mean,M2_cv_mean,M2_dead_mean,M2_cv_multitask_only_mean,M3_align_mean,M3_purity_mean,M3_align_1step_mean,M3_align_best_s_mean,M3_closed_map_error_mean,M3_closed_map_coverage_mean,M3_closed_map_error_matched_mean,M4_routing_acc_seen_mean,M4_routing_acc_unseen_mean,M5_entropy_mean,M5_dead_mean,M6_soft_hard_gap_mean,M7_drift_step1_mean,M7_acc_teacher_forced_mean,M7_recovery_mean,acc_singleton_mean,acc_ablate_all_mean,M1_acc_seen_std,M1_acc_unseen_std,M1_gap_std,M2_cv_std,M2_dead_std,M2_cv_multitask_only_std,M3_align_std,M3_purity_std,M3_align_1step_std,M3_align_best_s_std,M3_closed_map_error_std,M3_closed_map_coverage_std,M3_closed_map_error_matched_std,M4_routing_acc_seen_std,M4_routing_acc_unseen_std,M5_entropy_std,M5_dead_std,M6_soft_hard_gap_std,M7_drift_step1_std,M7_acc_teacher_forced_std,M7_recovery_std,acc_singleton_std,acc_ablate_all_std
A0,9,1.0,0.999988425925926,1.1574074074075883e-05,0.11458039805453063,1.0,0.11458039805453063,0.9999305556217829,0.9999305556217829,0.9999305556217829,0.9999305556217829,0.0036466428829145217,8.0,0.0036466428829145217,1.0,1.0,1.0,1.0,0.0,0.004321835461003638,0.999988425925926,0.0,1.0,0.0625,0.0,3.47222222222198e-05,3.472222222222765e-05,4.7049849504798764e-05,0.0,4.7049849504798764e-05,0.00020833313465118495,0.00020833313465118495,0.00020833313465118495,0.00020833313465118495,0.0027173010272527136,0.0,0.0027173010272527136,0.0,0.0,0.0,0.0,0.0,0.002874402987185341,3.472222222219341e-05,0.0,0.0,0.0
A1,9,0.5040069444444444,0.00024305555555555558,0.5037638888888889,1.2467053430078117,1.4444444444444444,1.2602254787969691,0.3821875011263829,0.37413194569914293,0.1309374997120661,0.7497222244273871,0.8800934054371383,1.0,1.475541673393713,0.4373958333333333,0.33641203703703704,0.8862386023357512,1.4444444444444444,0.0,1.5871281242370605,0.06091435185185185,0.06067129629629629,0.7015625000000001,0.015598958333333333,0.21298991421902536,0.00022097086912079608,0.2129931975757481,0.35915330094049036,1.4240006242195884,0.3444156536209641,0.1935935614987125,0.19352045296590098,0.09294393079986485,0.19608705520362651,0.18400357571785955,0.0,0.11062990618402666,0.191199026218632,0.2372894338010841,0.0673194588408723,1.4240006242195884,0.0,0.058538462777012905,0.05454017302477625,0.05454975487696847,0.22806468594800577,0.021735622521035673
A2,9,0.4877222222222222,0.00016203703703703703,0.4875601851851851,1.1011885680667484,0.1111111111111111,1.1314610608934588,0.6661805565947563,0.6634027788143916,0.054618055421289884,0.8701736129458166,0.9579790102110969,1.0,1.4971560297740831,0.6492326388888888,0.5723726851851851,0.9279244999431566,0.1111111111111111,3.4722222222222215e-05,1.5825809143207692,0.03207175925925926,0.03190972222222223,0.7487152777777778,0.0002560763888888889,0.07885667447024976,0.0001388888888888889,0.07877789990538644,0.12554037243965238,0.33333333333333337,0.09800916403359575,0.13025644996947322,0.13217230358985702,0.010165593734687166,0.08521903173964905,0.056401032663632465,0.0,0.023536738933919443,0.08341057634303178,0.13076537905011842,0.026531586060045888,0.33333333333333337,5.208333333333333e-05,0.022657877211400335,0.00875673173038856,0.00884573740919885,0.141227912788848,0.00016814025481959582
A3,9,0.7157361111111111,0.0005787037037037037,0.7151574074074074,1.138271912214698,0.0,1.138271912214698,0.7405208341272859,0.7404861119058397,0.18309027935740435,0.9680555584943957,0.51675526632203,1.0,0.6455957496331798,0.7002847222222223,0.6996122685185185,0.9763685588799912,0.0,-9.259259259259256e-05,0.6871941720997845,0.14465277777777777,0.14407407407407408,0.902013888888889,6.944444444444444e-05,0.10022502405611389,0.001102533077035238,0.10021629284002671,0.2036305758581144,0.0,0.2036305758581144,0.22531829754760788,0.2253225834954889,0.21722872178127345,0.05038057771259286,0.06004360337514511,0.0,0.07932141153524573,0.16434239179032997,0.200252538164391,0.0155106239893869,0.0,0.0007519586051287401,0.08898181535814696,0.18216399547017986,0.1812823205471485,0.07056051936005794,0.00017983368902256688
A3b,9,0.6959722222222222,0.006655092592592593,0.6893171296296297,1.081428902104464,0.0,1.081428902104464,0.9055555599431196,0.9053819488358891,0.0015277777436292833,0.9838888926638497,0.50339632626209,1.0,0.6512618023488257,0.7491284722222222,0.7345138888888889,0.9768860258431629,0.0,-0.0003356481481481482,0.6960599347397134,0.00125,-0.005405092592592592,0.9078819444444446,2.6041666666666665e-05,0.09740970935022054,0.011843828381772623,0.09041497440919352,0.15569873439351778,0.0,0.15569873439351778,0.0733877464586824,0.07357994564109002,0.000890000370244184,0.01500253050336008,0.020975402135123954,0.0,0.03671065754860381,0.06703742039717032,0.09654904630859362,0.022227989358793315,0.0,0.0007756356911003013,0.04425137935655417,0.0012125465340440433,0.011901861574196163,0.09501153530112955,4.367320268554277e-05
A4,9,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.3374261162761185,1.0,1.2254484076466825,0.2,0.0,0.9422085787477518,8.0,0.0,1.362432699556704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.020248933141897484,0.0,0.015663991253646856,0.0,0.0,0.06378603605740932,0.0,0.0,0.013473327568204586,0.0,0.0,0.0,0.0
