arm,n_seeds,M1_acc_seen_mean,M1_acc_unseen_mean,M1_gap_mean,M2_cv_mean,M2_dead_mean,M2_cv_multitask_only_mean,M3_align_mean,M3_purity_mean,M3_align_1step_mean,M3_align_best_s_mean,M3_closed_map_error_mean,M3_closed_map_coverage_mean,M3_closed_map_error_matched_mean,M4_routing_acc_seen_mean,M4_routing_acc_unseen_mean,M5_entropy_mean,M5_dead_mean,M6_soft_hard_gap_mean,M7_drift_step1_mean,M7_acc_teacher_forced_mean,M7_recovery_mean,acc_singleton_mean,acc_ablate_all_mean,M1_acc_seen_std,M1_acc_unseen_std,M1_gap_std,M2_cv_std,M2_dead_std,M2_cv_multitask_only_std,M3_align_std,M3_purity_std,M3_align_1step_std,M3_align_best_s_std,M3_closed_map_error_std,M3_closed_map_coverage_std,M3_closed_map_error_matched_std,M4_routing_acc_seen_std,M4_routing_acc_unseen_std,M5_entropy_std,M5_dead_std,M6_soft_hard_gap_std,M7_drift_step1_std,M7_acc_teacher_forced_std,M7_recovery_std,acc_singleton_std,acc_ablate_all_std
A0,5,0.990625,0.9510416666666666,0.039583333333333345,0.23356362815665968,1.0,0.23356362815665968,0.9962500020861625,0.9962500020861625,0.99668750166893,0.9984375014901161,0.030098545423243195,8.0,0.030098545423243195,1.0,1.0,1.0,1.0,0.0,0.0324600121229887,0.9990625,0.04802083333333331,0.99725,0.06253906249999999,0.004349254605676635,0.01649340277412289,0.012564071902762165,0.008451230835227443,0.0,0.008451230835227443,0.0021079282192116287,0.0021079282192116287,0.0015562383593867703,0.001189963412952609,0.003468795726418249,0.0,0.003468795726418249,0.0,0.0,0.0,0.0,0.0,0.0036357273128648075,0.00038975597778890007,0.01625717656699818,0.0011353688827865573,0.0
A1,5,0.7430875,0.0003958333333333334,0.7426916666666667,1.0363442748011964,0.2,1.0363442748011964,0.5984375008032657,0.598000000801403,0.1561249993974343,0.9394375041127205,0.904978820681572,1.0,1.4472008258104325,0.532,0.5050520833333334,0.9675999401865145,0.2,0.0,1.5421046988169351,0.09716666666666667,0.09677083333333333,0.8571250000000001,0.009492187499999999,0.12778465161160787,0.00020036858397574317,0.12783159104228803,0.09891870934891221,0.447213595499958,0.09891870934891221,0.11202678582518866,0.1119061180640829,0.0342501992157841,0.06489903614876934,0.05692019719695576,0.0,0.03761381944269473,0.12023547859305092,0.16960771764953597,0.02995767075568941,0.447213595499958,0.0,0.02908251477259775,0.045275032402283026,0.04542753596999903,0.14385074594653655,0.02003161792149437
A2,5,0.5491375,0.0005208333333333334,0.5486166666666666,1.1581076330087148,0.0,1.1581076330087148,0.6534375030896626,0.6506250030943193,0.10318749933503568,0.8557500009424984,0.8786305755376815,1.0,1.436232216656208,0.54876875,0.44771875000000005,0.9490898238556827,0.0,-2.0833333333333336e-05,1.5507645956675211,0.05410416666666666,0.05358333333333334,0.7613125000000001,0.0001796875,0.0882160035438582,0.00019487798889447614,0.08833237838516833,0.10734977193481055,0.0,0.10734977193481055,0.13163485214251477,0.13041980715284546,0.03537356435417731,0.07275433512148459,0.037453631611555245,0.0,0.02087452470001881,0.058850398754755694,0.1899997729919148,0.016563138156603763,0.0,4.658474953124563e-05,0.017267236360493158,0.009386162336268093,0.009370832406995655,0.04774883424624107,0.00012228496751951975
A3,5,0.6750875,0.0028958333333333336,0.6721916666666666,1.0891767193569857,0.2,1.0891767193569857,0.7901249978691339,0.7898124978644774,0.049687499785795806,0.944375003874302,0.4756853710860014,1.0,0.666807434335351,0.711325,0.6883229166666667,0.9684069109011585,0.2,0.00010416666666666651,0.7165184027353922,0.021145833333333336,0.018250000000000002,0.89825,0.0,0.11715726776698492,0.004056753414232728,0.11357449582732275,0.18716713077739547,0.447213595499958,0.18716713077739547,0.13358755539119635,0.13385721532609315,0.05853184239355228,0.010048710569356585,0.024624496159394597,0.0,0.027770155356825227,0.1122147808056051,0.09454099467680237,0.02431190389353438,0.447213595499958,0.0005983919423477115,0.03506118603175416,0.028001077298223924,0.02981500397124836,0.03888371586377774,0.0
A3b,5,0.5890875,0.011520833333333333,0.5775666666666666,1.0794319857723733,0.0,1.107853085340955,0.4371875016135164,0.4366875016246922,0.012999999744351953,0.907000003196299,0.4577373340725899,1.0,0.6383665151894092,0.4687125,0.41244791666666664,0.9566122773947304,0.0,-0.001604166666666668,0.6846587092081705,0.016812499999999998,0.005291666666666666,0.8199375,7.03125e-05,0.07037795009358398,0.018092133755293886,0.07149913709900824,0.15114235567807582,0.0,0.14444756879441034,0.30287530039275623,0.3033207008806729,0.02099874383980964,0.06144285675240715,0.04092860002037318,0.0,0.06485627920178327,0.2378706302147241,0.26431705658528687,0.02018437490512752,0.0,0.002903242918607474,0.08273005229865243,0.027814021493963552,0.03369702310767888,0.12853258341759102,8.468548198702656e-05
A4,5,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.346184479445219,1.0,1.2240215353667736,0.2,0.0,0.9576717489932658,8.0,0.0,1.358872589747111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.003997761234358613,0.0,0.004198951974258771,0.0,0.0,0.04287178257915517,0.0,0.0,0.0073454642106885685,0.0,0.0,0.0,0.0
