run_id,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A0_0_7245365,A0,0,0.9876875,0.9383333333333334,0.0493541666666667,0.24321754078634253,1,0.24321754078634253,0.9962500035762787,0.9962500035762787,0.9965625032782555,0.997187502682209,0.0313136950135231,8,0.0313136950135231,1.0,1.0,1.0,1,0.0,0.03366434340675672,0.9988541666666667,0.060520833333333246,0.9975,0.06253906249999999,29376,2103552,51136,50762,0.013964950711938665
A0_1_7245365,A0,1,0.9880625,0.9508333333333333,0.03722916666666665,0.23263028805810518,1,0.23263028805810518,0.9962500035762787,0.9962500035762787,0.9965625032782555,0.9993750005960464,0.024314600508660078,8,0.024314600508660078,1.0,1.0,1.0,1,0.0,0.026462330371141433,0.9985416666666668,0.047708333333333464,0.995625,0.06253906249999999,29376,2103552,51136,50762,0.013964950711938665
A0_2_7245365,A0,2,0.98975,0.9397916666666667,0.04995833333333333,0.23702236782085268,1,0.23702236782085268,0.9959375038743019,0.9959375038743019,0.9965625032782555,0.9978125020861626,0.03122005215846002,8,0.03122005215846002,1.0,1.0,1.0,1,0.0,0.03358848512172699,0.9991666666666666,0.059374999999999956,0.9975,0.06253906249999999,29376,2103552,51136,50762,0.013964950711938665
A0_3_7245365,A0,3,0.989375,0.9471875,0.042187500000000044,0.2347366628440958,1,0.2347366628440958,0.9934374988079071,0.9934374988079071,0.9946874976158142,0.9978125020861626,0.030090154614299536,8,0.030090154614299536,1.0,1.0,1.0,1,0.0,0.03236082752545675,0.9991666666666666,0.051979166666666576,0.996875,0.06253906249999999,29376,2103552,51136,50762,0.013964950711938665
A0_4_7245365,A0,4,0.99825,0.9790625,0.019187500000000024,0.22021128127390208,1,0.22021128127390208,0.9993750005960464,0.9993750005960464,0.9990625008940697,1.0,0.03355422482127324,8,0.03355422482127324,1.0,1.0,1.0,1,0.0,0.036224074189861614,0.9995833333333334,0.02052083333333332,0.99875,0.06253906249999999,29376,2103552,51136,50762,0.013964950711938665
A1_0_7245365,A1,0,0.92,0.0003125,0.9196875,0.8975608708262512,0,0.8975608708262512,0.6574999997392297,0.6559374997159466,0.21249999781139195,0.9181249961256981,0.9563926532864571,1,1.43559879809618,0.675,0.785625,0.9975159466795841,0,0.0,1.5498608271280923,0.11343750000000001,0.11312500000000002,0.92,0.0014453125,29376,2103552,51136,50762,0.013964950711938665
A1_1_7245365,A1,1,0.635125,0.0007291666666666667,0.6343958333333334,1.1648967600444553,1,1.1648967600444553,0.43499999988125637,0.43499999988125637,0.12531249964376912,0.8390625044703484,0.8750583976507187,1,1.4346718043088913,0.499875,0.4583333333333333,0.9256842694047487,1,0.0,1.5303971831003824,0.05677083333333335,0.05604166666666668,0.795,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A1_2_7245365,A1,2,0.611625,0.00020833333333333335,0.6114166666666666,1.0672729108842702,0,1.0672729108842702,0.7190625071525574,0.7190625071525574,0.1399999957648106,0.9496875107288361,0.8266107365489006,1,1.3973164483904839,0.4625,0.45817708333333335,0.9593559953226106,0,0.0,1.4985486729939776,0.16822916666666668,0.16802083333333334,0.63375,0.0001953125,29376,2103552,51136,50762,0.013964950711938665
A1_3_7245365,A1,3,0.813875,0.0004166666666666667,0.8134583333333334,0.9929629224700959,0,0.9929629224700959,0.6418750043958426,0.6418750043958426,0.1400000014109537,0.9965625032782555,0.9045882150530815,1,1.475841298699379,0.635125,0.49666666666666665,0.9959575990636924,0,0.0,1.5569045607248941,0.065,0.06458333333333334,0.9803125,0.0453125,29376,2103552,51136,50762,0.013964950711938665
A1_4_7245365,A1,4,0.7348125,0.0003125,0.7344999999999999,1.0590279097809097,0,1.0590279097809097,0.5387499928474426,0.5381249928614125,0.1628125023562461,0.9937500059604645,0.9622441008687019,1,1.492575779557228,0.3875,0.32645833333333335,0.9594858904619364,0,0.0,1.5748122501373292,0.08239583333333333,0.08208333333333334,0.9565625,0.00046875000000000004,29376,2103552,51136,50762,0.013964950711938665
A2_0_7245365,A2,0,0.4529375,0.0007291666666666667,0.4522083333333333,1.337715609467079,0,1.337715609467079,0.7540624961256981,0.7506249961443245,0.14999999961582944,0.8774999976158142,0.8441896215081215,1,1.440357856452465,0.58484375,0.4508333333333333,0.9319965727399534,0,0.0,1.541702998479207,0.051458333333333335,0.050729166666666665,0.8290625,0.0003125,29376,2103552,51136,50762,0.013964950711938665
A2_1_7245365,A2,1,0.558125,0.0007291666666666667,0.5573958333333333,1.132161230268067,0,1.132161230268067,0.5987500041956082,0.5987500041956082,0.10124999925028533,0.8450000011362135,0.888322077691555,1,1.4627361744642258,0.51128125,0.41630208333333335,0.9363103775820932,0,-0.00010416666666666669,1.5472937774658204,0.0621875,0.06145833333333333,0.7171875,0.000234375,29376,2103552,51136,50762,0.013964950711938665
A2_2_7245365,A2,2,0.485875,0.0004166666666666667,0.4854583333333333,1.105911899903088,0,1.105911899903088,0.44625000259839,0.44406250258907676,0.05937499989522621,0.7534375060349703,0.8359581306576729,1,1.4168255552649498,0.48971875,0.20958333333333334,0.9479700202172994,0,0.0,1.5806647809346517,0.04093750000000001,0.04052083333333334,0.750625,0.0001171875,29376,2103552,51136,50762,0.013964950711938665
A2_3_7245365,A2,3,0.68125,0.0003125,0.6809375,1.0559373714262088,0,1.0559373714262088,0.7225000064936467,0.7218750065076165,0.12374999886378646,0.9559375047683716,0.9232318848371506,1,1.4135341048240662,0.525,0.4209375,0.9735397099844514,0,0.0,1.5472590255737309,0.06416666666666666,0.06385416666666667,0.789375,0.000234375,29376,2103552,51136,50762,0.013964950711938665
